index,theoretical,actual
0,-12042.064638142094,-19101.06277258348
1,-11105.061648319452,-18138.06277258348
2,-10523.081360131791,-15202.062772583478
3,-10092.561995330418,-14140.062772583478
4,-9747.422519782922,-14071.062772583478
5,-9457.498945935007,-12765.062772583478
6,-9206.386660368053,-12547.062772583478
7,-8984.133823514258,-12438.062772583478
8,-8784.23075017774,-11177.062772583478
9,-8602.17720972948,-10752.281618745823
10,-8434.727349766346,-10247.062772583478
11,-8279.460062174338,-9939.062772583478
12,-8134.519453419427,-9319.799078010241
13,-7998.450343219191,-9265.18465258804
14,-7870.089786242324,-9199.281618745823
15,-7748.493124831103,-9127.799078010241
16,-7632.882138118791,-8922.062772583478
17,-7522.607790265708,-8624.959089181953
18,-7417.122894802787,-8561.062772583478
19,-7315.961678905406,-8325.72720837468
20,-7218.7242521273265,-7286.371480315778
21,-7125.06462773609,-6907.268141295557
22,-7034.681361280318,-6883.10626917523
23,-6947.310146837706,-6776.062772583478
24,-6862.717897883339,-6583.485945261287
25,-6780.697968195705,-6353.184652588039
26,-6701.066258247978,-6139.819313995802
27,-6623.658016605732,-5741.450186469578
28,-6548.32519210546,-5690.268141295557
29,-6474.934226415596,-5679.268141295557
30,-6403.364201621325,-5648.9590891819535
31,-6333.505276216696,-5557.681032968001
32,-6265.257357062048,-5547.268141295557
33,-6198.528965688366,-5359.268141295557
34,-6133.23626566968,-5316.073328545535
35,-6069.302224264114,-5215.268141295557
36,-6006.655886598622,-5205.256387383357
37,-5945.231744675668,-5163.282059295481
38,-5884.969186660467,-5160.154826311962
39,-5825.812014450714,-5142.114910005548
40,-5767.708019577014,-5113.588742231514
41,-5710.608609138575,-5112.75660237066
42,-5654.468474826653,-5081.268141295557
43,-5599.245299191139,-5047.9590891819535
44,-5544.899494212492,-4937.597734140887
45,-5491.3939679905525,-4932.496669168133
46,-5438.69391598345,-4873.496669168133
47,-5386.766633748272,-4846.268141295557
48,-5335.581348568902,-4803.268141295557
49,-5285.109067720965,-4777.268141295557
50,-5235.322441431368,-4748.360001271445
51,-5186.195638850064,-4694.893615689274
52,-5137.704235572929,-4671.268141295557
53,-5089.825111442924,-4632.288955281125
54,-5042.536357517934,-4622.148108409485
55,-4995.817191231771,-4539.282059295481
56,-4949.647878893711,-4508.382154301551
57,-4904.009664774462,-4427.382154301551
58,-4858.884706115079,-4283.450186469578
59,-4814.256013472304,-4216.114910005548
60,-4770.107395880606,-4213.148108409485
61,-4726.4234103695035,-4166.178341978113
62,-4683.189315425654,-4016.681032968001
63,-4640.391028033729,-3948.8722469117783
64,-4598.015083969269,-3943.306944552518
65,-4556.048601051053,-3887.359079439935
66,-4514.479245090882,-3828.316651809495
67,-4473.295198305391,-3828.2503468006034
68,-4432.485129978239,-3814.799078010241
69,-4392.038169181965,-3733.268141295557
70,-4351.943879387502,-3726.496669168133
71,-4312.192234805838,-3646.714009367861
72,-4272.773598321178,-3626.382154301551
73,-4233.678700888085,-3604.1062691752304
74,-4194.898622276907,-3409.9590891819535
75,-4156.42477306233,-3330.2820592954813
76,-4118.248877759387,-3325.382154301551
77,-4080.3629590197474,-3264.0163397076394
78,-4042.75932280876,-3229.681032968001
79,-4005.4305444906154,-3172.1062691752304
80,-3968.3694557552153,-3162.2820592954813
81,-3931.569132325927,-3090.114910005548
82,-3895.022882392509,-3012.288955281125
83,-3858.724235718061,-3006.114910005548
84,-3822.6669333730406,-3001.360001271445
85,-3786.8449180531466,-2803.597734140887
86,-3751.25232494134,-2758.184652588039
87,-3715.8834730773624,-2729.9590891819535
88,-3680.7328572010024,-2718.268141295557
89,-3645.7951400379084,-2704.2820592954813
90,-3611.065144999164,-2702.799078010241
91,-3576.5378492679874,-2658.681032968001
92,-3542.2083772488845,-2625.8504370076844
93,-3508.0719943564327,-2624.359079439935
94,-3474.1241011225075,-2608.1062691752304
95,-3440.3602276022925,-2600.9590891819535
96,-3406.776028060847,-2437.7764622273535
97,-3373.367275923231,-2436.5887422315136
