,Ours,Competitor1,Competitor2,PJM,Demand
2024-01-01 01:00:00,94290.41294178151,85704.98246575343,102465.10988399904,178974,80933.0
2024-01-01 02:00:00,93781.99967089576,82543.0,102138.42562561095,178873,79675.0
2024-01-01 03:00:00,93781.99967089576,82638.10356164383,101811.74692966926,178157,78911.0
2024-01-01 04:00:00,93945.51217676938,82318.0,101485.07400222568,178015,79480.0
2024-01-01 05:00:00,94290.41294178151,85238.68054794522,101158.40705864746,178353,80973.0
2024-01-01 06:00:00,94246.96038477495,89147.0,100831.74632409382,178458,82850.0
2024-01-01 07:00:00,94505.21168840276,91467.0,100505.09203402007,178802,84279.0
2024-01-01 08:00:00,94766.05092722652,93126.7216438356,100178.44443470894,179196,85472.0
2024-01-01 09:00:00,98575.57001141318,96150.96767123288,99851.80378383685,179439,86633.0
2024-01-01 10:00:00,95442.76328716648,93518.1506849315,99525.17035106063,178730,87793.0
2024-01-01 11:00:00,94766.05092722652,93126.7216438356,99198.54441865065,177994,88641.0
2024-01-01 12:00:00,94686.93761446084,93126.7216438356,98871.92628215117,177404,89557.0
2024-01-01 13:00:00,94686.93761446084,91521.0,98545.31625108064,176837,90262.0
2024-01-01 14:00:00,94686.93761446084,91521.0,98218.71464967263,176522,90569.0
2024-01-01 15:00:00,94766.05092722652,93045.0,97892.12181765765,176475,91592.0
2024-01-01 16:00:00,100638.95567987142,97872.40904109587,97565.53811109072,176739,94190.0
2024-01-01 17:00:00,108343.16815253234,102841.07424657534,97238.96390322562,176786,97967.0
2024-01-01 18:00:00,110972.09421642344,105642.00246575342,96912.39958544055,177009,98379.0
2024-01-01 19:00:00,110093.33672475502,105671.78383561644,96585.84556821619,180046,97375.0
2024-01-01 20:00:00,108343.16815253234,104795.0,96259.30228217083,180645,95569.0
2024-01-01 21:00:00,104462.10753869863,102406.0,95932.77017915556,180722,93512.0
2024-01-01 22:00:00,100638.95567987142,96292.0,95606.2497334132,180235,89927.0
2024-01-01 23:00:00,94766.05092722652,93045.0,95279.74144280447,180338,86468.0
2024-01-02 00:00:00,94686.93761446084,91450.8887671233,101310.88834775712,177398,84070.0
2024-01-02 01:00:00,94246.96038477495,91449.34273972602,100984.20969401537,177376,82812.0
2024-01-02 02:00:00,94246.96038477495,89503.0,100657.53681420894,178195,82164.0
2024-01-02 03:00:00,94246.96038477495,91414.73342465752,100330.86992403124,178169,82620.0
2024-01-02 04:00:00,94686.93761446084,91521.0,100004.20924898637,178395,84795.0
2024-01-02 05:00:00,100638.95567987142,97879.0,99677.55502489532,179103,89449.0
2024-01-02 06:00:00,110972.09421642344,104198.0,99350.9074984284,179486,96456.0
2024-01-02 07:00:00,115707.11574164854,108945.50767123287,99024.26692766874,180350,101748.0
2024-01-02 08:00:00,115707.11574164854,109130.52465753425,98697.63358270806,182114,102798.0
2024-01-02 09:00:00,115568.02452351892,104720.0,98371.00774627482,183358,101900.0
2024-01-02 10:00:00,111327.82494519772,103360.8616438356,98044.38971439857,183138,100590.0
2024-01-02 11:00:00,108343.16815253234,104795.0,97717.77979711197,183050,98532.0
2024-01-02 12:00:00,106932.99034304,108525.8989041096,97391.17831919275,183342,97113.0
2024-01-02 13:00:00,104462.10753869863,102341.74493150684,97064.5856209476,183103,96298.0
2024-01-02 14:00:00,104462.10753869863,99813.0,96738.00205904194,182729,95847.0
2024-01-02 15:00:00,104462.10753869863,101564.27369863016,96411.42800737623,182115,96555.0
2024-01-02 16:00:00,110093.33672475502,105126.0,96084.86385801344,180598,99799.0
2024-01-02 17:00:00,115707.11574164854,107001.07013698632,95758.31002215981,180211,105473.0
2024-01-02 18:00:00,115707.11574164854,108260.0,95431.76693120212,180007,107206.0
2024-01-02 19:00:00,115707.11574164854,108987.92739726028,95105.23503780596,179065,106671.0
2024-01-02 20:00:00,115707.11574164854,107878.40191780822,94778.71481707711,178681,105358.0
2024-01-02 21:00:00,115568.02452351892,104720.0,94452.20676779107,178566,102748.0
2024-01-02 22:00:00,108343.16815253234,102810.72328767124,94125.71141369453,178804,98936.0
2024-01-02 23:00:00,102731.42709052876,98419.0,93799.22930488273,178868,95113.0
2024-01-03 00:00:00,100360.49816236328,97919.0,99829.99960192892,176882,92346.0
2024-01-03 01:00:00,94766.05092722652,92311.0,99503.3327648245,176250,91064.0
2024-01-03 02:00:00,94686.93761446084,93034.39479452054,99176.67214895884,176305,90525.0
2024-01-03 03:00:00,94766.05092722652,93045.0,98850.01799051811,176192,91020.0
2024-01-03 04:00:00,100360.49816236328,94532.8101369863,98523.3705365594,175691,92893.0
2024-01-03 05:00:00,104462.10753869863,97976.36712328768,98196.7300455755,175878,97502.0
2024-01-03 06:00:00,115568.02452351892,106389.0,97870.09678809148,176084,104597.0
