,Ours,Competitor1,Competitor2,PJM,Demand
2024-01-01 01:00:00,94290.41294178151,85704.98246575343,102465.10988399904,178974,80933.0
2024-01-01 02:00:00,188072.41261267726,168247.98246575345,204603.53550961,357847,160608.0
2024-01-01 03:00:00,281854.412283573,250886.08602739728,306415.28243927925,536004,239519.0
2024-01-01 04:00:00,375799.9244603424,333204.0860273973,407900.3564415049,714019,318999.0
2024-01-01 05:00:00,470090.3374021239,418442.7665753425,509058.7635001524,892372,399972.0
2024-01-01 06:00:00,564337.2977868989,507589.7665753425,609890.5098242462,1070830,482822.0
2024-01-01 07:00:00,658842.5094753017,599056.7665753425,710395.6018582663,1249632,567101.0
2024-01-01 08:00:00,753608.5604025283,692183.488219178,810574.0462929752,1428828,652573.0
2024-01-01 09:00:00,852184.1304139415,788334.4558904109,910425.8500768121,1608267,739206.0
2024-01-01 10:00:00,947626.8937011079,881852.6065753425,1009951.0204278727,1786997,826999.0
2024-01-01 11:00:00,1042392.9446283345,974979.3282191781,1109149.5648465233,1964991,915640.0
2024-01-01 12:00:00,1137079.8822427953,1068106.0498630137,1208021.4911286745,2142395,1005197.0
2024-01-01 13:00:00,1231766.8198572563,1159627.0498630137,1306566.8073797552,2319232,1095459.0
2024-01-01 14:00:00,1326453.7574717172,1251148.0498630137,1404785.5220294278,2495754,1186028.0
2024-01-01 15:00:00,1421219.8083989436,1344193.0498630137,1502677.6438470855,2672229,1277620.0
2024-01-01 16:00:00,1521858.764078815,1442065.4589041094,1600243.1819581762,2848968,1371810.0
2024-01-01 17:00:00,1630201.9322313473,1544906.5331506848,1697482.145861402,3025754,1469777.0
2024-01-01 18:00:00,1741174.0264477707,1650548.5356164381,1794394.5454468424,3202763,1568156.0
2024-01-01 19:00:00,1851267.3631725258,1756220.3194520546,1890980.3910150586,3382809,1665531.0
2024-01-01 20:00:00,1959610.531325058,1861015.3194520546,1987239.6932972295,3563454,1761100.0
2024-01-01 21:00:00,2064072.6388637568,1963421.3194520546,2083172.463476385,3744176,1854612.0
2024-01-01 22:00:00,2164711.5945436284,2059713.3194520546,2178778.713209798,3924411,1944539.0
2024-01-01 23:00:00,2259477.645470855,2152758.319452055,2274058.454652603,4104749,2031007.0
2024-01-02 00:00:00,2354164.583085316,2244209.208219178,2375369.34300036,4282147,2115077.0
2024-01-02 01:00:00,2448411.5434700907,2335658.550958904,2476353.552694375,4459523,2197889.0
2024-01-02 02:00:00,2542658.5038548657,2425161.550958904,2577011.0895085842,4637718,2280053.0
2024-01-02 03:00:00,2636905.4642396406,2516576.2843835615,2677341.9594326154,4815887,2362673.0
2024-01-02 04:00:00,2731592.4018541016,2608097.2843835615,2777346.168681602,4994282,2447468.0
2024-01-02 05:00:00,2832231.357533973,2705976.2843835615,2877023.7237064973,5173385,2536917.0
2024-01-02 06:00:00,2943203.4517503968,2810174.2843835615,2976374.631204926,5352871,2633373.0
2024-01-02 07:00:00,3058910.5674920455,2919119.7920547943,3075398.898132595,5533221,2735121.0
2024-01-02 08:00:00,3174617.683233694,3028250.3167123287,3174096.5317153027,5715335,2837919.0
2024-01-02 09:00:00,3290185.707757213,3132970.3167123287,3272467.5394615773,5898693,2939819.0
2024-01-02 10:00:00,3401513.532702411,3236331.178356164,3370511.9291759757,6081831,3040409.0
2024-01-02 11:00:00,3509856.7008549436,3341126.178356164,3468229.708973088,6264881,3138941.0
2024-01-02 12:00:00,3616789.6911979835,3449652.0772602735,3565620.887292281,6448223,3236054.0
2024-01-02 13:00:00,3721251.798736682,3551993.8221917804,3662685.4729132284,6631326,3332352.0
2024-01-02 14:00:00,3825713.906275381,3651806.8221917804,3759423.4749722704,6814055,3428199.0
2024-01-02 15:00:00,3930176.0138140796,3753371.0958904107,3855834.902979647,6996170,3524754.0
2024-01-02 16:00:00,4040269.3505388345,3858497.0958904107,3951919.76683766,7176768,3624553.0
2024-01-02 17:00:00,4155976.466280483,3965498.166027397,4047678.07685982,7356979,3730026.0
2024-01-02 18:00:00,4271683.582022131,4073758.166027397,4143109.8437910224,7536986,3837232.0
2024-01-02 19:00:00,4387390.69776378,4182746.0934246574,4238215.078828828,7716051,3943903.0
2024-01-02 20:00:00,4503097.813505429,4290624.495342465,4332993.793645905,7894732,4049261.0
2024-01-02 21:00:00,4618665.838028948,4395344.495342465,4427446.000413696,8073298,4152009.0
2024-01-02 22:00:00,4727009.00618148,4498155.218630136,4521571.711827391,8252102,4250945.0
2024-01-02 23:00:00,4829740.433272009,4596574.218630136,4615370.9411322735,8430970,4346058.0
2024-01-03 00:00:00,4930100.931434372,4694493.218630136,4715200.940734202,8607852,4438404.0
2024-01-03 01:00:00,5024866.982361599,4786804.218630136,4814704.273499027,8784102,4529468.0
2024-01-03 02:00:00,5119553.919976059,4879838.613424657,4913880.945647986,8960407,4619993.0
2024-01-03 03:00:00,5214319.970903286,4972883.613424657,5012730.963638504,9136599,4711013.0
2024-01-03 04:00:00,5314680.469065649,5067416.423561643,5111254.334175063,9312290,4803906.0
2024-01-03 05:00:00,5419142.576604348,5165392.790684931,5209451.064220639,9488168,4901408.0
2024-01-03 06:00:00,5534710.601127867,5271781.790684931,5307321.1610087305,9664252,5006005.0
2024-01-03 07:00:00,5650417.716869515,5382222.430958903,5404864.632056025,9840396,5115126.0
2024-01-03 08:00:00,5766124.832611164,5492614.430958903,5502081.485175724,10017743,5223645.0
