,Ours,Competitor1,Competitor2,PJM
2024-01-01 01:00:00,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,0.0,0.0,0.0,0.0
2024-01-01 08:00:00,0.0,0.0,0.0,0.0
2024-01-01 09:00:00,0.0,0.0,0.0,0.0
2024-01-01 10:00:00,0.0,0.0,0.0,0.0
2024-01-01 11:00:00,0.0,0.0,0.0,0.0
2024-01-01 12:00:00,0.0,0.0,0.0,0.0
2024-01-01 13:00:00,0.0,0.0,0.0,0.0
2024-01-01 14:00:00,0.0,0.0,0.0,0.0
2024-01-01 15:00:00,0.0,0.0,0.0,0.0
2024-01-01 16:00:00,0.0,0.0,0.0,0.0
2024-01-01 17:00:00,0.0,0.0,-728.0360967743763,0.0
2024-01-01 18:00:00,0.0,0.0,-2194.636511333825,0.0
2024-01-01 19:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-01 20:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-01 21:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-01 22:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-01 23:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-02 00:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-02 01:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-02 02:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-02 03:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-02 04:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-02 05:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-02 06:00:00,0.0,0.0,-2983.7909431176377,0.0
2024-01-02 07:00:00,0.0,0.0,-5707.5240154489,0.0
2024-01-02 08:00:00,0.0,0.0,-9807.890432740838,0.0
2024-01-02 09:00:00,0.0,0.0,-13336.882686466022,0.0
2024-01-02 10:00:00,0.0,0.0,-15882.492972067455,0.0
2024-01-02 11:00:00,0.0,0.0,-16696.713174955483,0.0
2024-01-02 12:00:00,0.0,0.0,-16696.713174955483,0.0
2024-01-02 13:00:00,0.0,0.0,-16696.713174955483,0.0
2024-01-02 14:00:00,0.0,0.0,-16696.713174955483,0.0
2024-01-02 15:00:00,0.0,0.0,-16840.285167579248,0.0
2024-01-02 16:00:00,0.0,0.0,-20554.421309565805,0.0
2024-01-02 17:00:00,0.0,0.0,-30269.11128740599,0.0
2024-01-02 18:00:00,0.0,0.0,-42043.344356203874,0.0
2024-01-02 19:00:00,0.0,0.0,-53609.10931839791,0.0
2024-01-02 20:00:00,0.0,0.0,-64188.3945013208,0.0
2024-01-02 21:00:00,0.0,0.0,-72484.18773352973,0.0
2024-01-02 22:00:00,0.0,0.0,-77294.4763198352,0.0
2024-01-02 23:00:00,0.0,0.0,-78608.24701495247,0.0
2024-01-03 00:00:00,0.0,0.0,-78608.24701495247,0.0
2024-01-03 01:00:00,0.0,0.0,-78608.24701495247,0.0
2024-01-03 02:00:00,0.0,0.0,-78608.24701495247,0.0
2024-01-03 03:00:00,0.0,0.0,-78608.24701495247,0.0
