ERCOT 15-Minute Fuel Mix Generation (megawatt)
15-minute generation data by fuel for ERCOT
Source: EIA collected from ERCOT
UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Total Generation (MW),Biomass Generation (MW),Coal Generation (MW),Gas Generation (MW),Gas-CC Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Generation (MW),Solar Generation (MW),Wind Generation (MW)
2020-10-01 05:15:00,2020-10-01 00:00:00,2020-10-01 00:15:00,2020-10-01,1,34989.402304,37.061816,5129.668908,727.402752,11473.873728,7.097416,5026.348984,1.4231,0.0,12586.5256
2020-10-01 05:30:00,2020-10-01 00:15:00,2020-10-01 00:30:00,2020-10-01,1,34473.08494,37.081456,5310.50082,749.63482,10959.401884,7.090924,5026.203828,-1.28742,0.0,12384.458628
2020-10-01 05:45:00,2020-10-01 00:30:00,2020-10-01 00:45:00,2020-10-01,1,33893.608064,37.043392,5393.820264,757.515512,10572.763032,7.060016,5024.815184,-2.801364,0.0,12103.392028
2020-10-01 06:00:00,2020-10-01 00:45:00,2020-10-01 01:00:00,2020-10-01,1,33493.594296,36.729812,5432.077152,756.532224,10344.962008,7.047456,5023.591212,-2.418712,0.0,11895.073144
2020-10-01 06:15:00,2020-10-01 01:00:00,2020-10-01 01:15:00,2020-10-01,2,32982.219284,35.77732,5349.666028,781.565108,10090.965672,7.05612,5024.252852,7.6643,0.0,11685.271884
2020-10-01 06:30:00,2020-10-01 01:15:00,2020-10-01 01:30:00,2020-10-01,2,32643.2308,35.728484,5365.121292,966.211948,9877.293108,7.031204,5022.939988,-4.61408,0.0,11373.518856
2020-10-01 06:45:00,2020-10-01 01:30:00,2020-10-01 01:45:00,2020-10-01,2,32219.255512,35.766024,5377.253384,973.331156,9810.466932,7.019812,5022.691416,-2.00226,0.0,10994.729048
2020-10-01 07:00:00,2020-10-01 01:45:00,2020-10-01 02:00:00,2020-10-01,2,31831.380096,35.780332,5285.48842,958.694836,9981.927148,7.001164,5022.803032,-0.898524,0.0,10540.583688
2020-10-01 07:15:00,2020-10-01 02:00:00,2020-10-01 02:15:00,2020-10-01,3,31548.21322,35.824812,5232.333648,945.544068,10135.353732,6.995376,5023.99518,-0.539596,0.0,10168.706
2020-10-01 07:30:00,2020-10-01 02:15:00,2020-10-01 02:30:00,2020-10-01,3,31260.56658,35.814408,5276.158404,913.9417,10309.684496,7.0534,5024.28542,1.465204,0.0,9692.163548
2020-10-01 07:45:00,2020-10-01 02:30:00,2020-10-01 02:45:00,2020-10-01,3,31081.584092,35.85388,5397.606324,896.263044,10375.760792,7.953472,5024.496056,1.74396,0.0,9341.906564
2020-10-01 08:00:00,2020-10-01 02:45:00,2020-10-01 03:00:00,2020-10-01,3,31001.503008,35.865212,5542.380832,879.456612,10544.302992,7.907912,5024.465896,-1.025296,0.0,8968.148848
2020-10-01 08:15:00,2020-10-01 03:00:00,2020-10-01 03:15:00,2020-10-01,4,30890.458952,35.84932,5732.846152,852.041356,10557.762316,7.888564,5023.707608,0.03692,0.0,8680.326716
2020-10-01 08:30:00,2020-10-01 03:15:00,2020-10-01 03:30:00,2020-10-01,4,30715.56572,35.794136,5866.677808,829.03782,10541.82416,7.919616,5022.130412,-3.147088,0.0,8415.328856
2020-10-01 08:45:00,2020-10-01 03:30:00,2020-10-01 03:45:00,2020-10-01,4,30618.517048,35.844864,5821.84466,831.266916,10606.438996,7.907356,5024.00738,1.393224,0.0,8289.813652
2020-10-01 09:00:00,2020-10-01 03:45:00,2020-10-01 04:00:00,2020-10-01,4,30569.292468,35.834448,5884.439744,813.972984,10704.871072,7.8603,5023.63802,1.611784,0.0,8097.064116
2020-10-01 09:15:00,2020-10-01 04:00:00,2020-10-01 04:15:00,2020-10-01,5,30746.897028,35.854584,6031.678448,786.503912,10986.380116,7.819168,5024.010612,1.318616,0.0,7873.331572
2020-10-01 09:30:00,2020-10-01 04:15:00,2020-10-01 04:30:00,2020-10-01,5,30806.415672,35.805252,6148.38926,766.946832,11133.009708,7.76336,5023.530736,-0.71624,0.0,7691.686764
