Time,MW
2024-01-01 01:00:00-05:00,178974
2024-01-01 02:00:00-05:00,178873
2024-01-01 03:00:00-05:00,178157
2024-01-01 04:00:00-05:00,178015
2024-01-01 05:00:00-05:00,178353
2024-01-01 06:00:00-05:00,178458
2024-01-01 07:00:00-05:00,178802
2024-01-01 08:00:00-05:00,179196
2024-01-01 09:00:00-05:00,179439
2024-01-01 10:00:00-05:00,178730
2024-01-01 11:00:00-05:00,177994
2024-01-01 12:00:00-05:00,177404
2024-01-01 13:00:00-05:00,176837
2024-01-01 14:00:00-05:00,176522
2024-01-01 15:00:00-05:00,176475
2024-01-01 16:00:00-05:00,176739
2024-01-01 17:00:00-05:00,176786
2024-01-01 18:00:00-05:00,177009
2024-01-01 19:00:00-05:00,180046
2024-01-01 20:00:00-05:00,180645
2024-01-01 21:00:00-05:00,180722
2024-01-01 22:00:00-05:00,180235
2024-01-01 23:00:00-05:00,180338
2024-01-02 00:00:00-05:00,177398
2024-01-02 01:00:00-05:00,177376
2024-01-02 02:00:00-05:00,178195
2024-01-02 03:00:00-05:00,178169
2024-01-02 04:00:00-05:00,178395
2024-01-02 05:00:00-05:00,179103
2024-01-02 06:00:00-05:00,179486
2024-01-02 07:00:00-05:00,180350
2024-01-02 08:00:00-05:00,182114
2024-01-02 09:00:00-05:00,183358
2024-01-02 10:00:00-05:00,183138
2024-01-02 11:00:00-05:00,183050
2024-01-02 12:00:00-05:00,183342
2024-01-02 13:00:00-05:00,183103
2024-01-02 14:00:00-05:00,182729
2024-01-02 15:00:00-05:00,182115
2024-01-02 16:00:00-05:00,180598
2024-01-02 17:00:00-05:00,180211
2024-01-02 18:00:00-05:00,180007
2024-01-02 19:00:00-05:00,179065
2024-01-02 20:00:00-05:00,178681
2024-01-02 21:00:00-05:00,178566
2024-01-02 22:00:00-05:00,178804
2024-01-02 23:00:00-05:00,178868
2024-01-03 00:00:00-05:00,176882
2024-01-03 01:00:00-05:00,176250
2024-01-03 02:00:00-05:00,176305
2024-01-03 03:00:00-05:00,176192
2024-01-03 04:00:00-05:00,175691
2024-01-03 05:00:00-05:00,175878
2024-01-03 06:00:00-05:00,176084
2024-01-03 07:00:00-05:00,176144
2024-01-03 08:00:00-05:00,177347
2024-01-03 09:00:00-05:00,177911
2024-01-03 10:00:00-05:00,177552
2024-01-03 11:00:00-05:00,176908
2024-01-03 12:00:00-05:00,176866
2024-01-03 13:00:00-05:00,176998
2024-01-03 14:00:00-05:00,176201
2024-01-03 15:00:00-05:00,175680
2024-01-03 16:00:00-05:00,175930
2024-01-03 17:00:00-05:00,176011
2024-01-03 18:00:00-05:00,176877
2024-01-03 19:00:00-05:00,179411
2024-01-03 20:00:00-05:00,178700
2024-01-03 21:00:00-05:00,178772
2024-01-03 22:00:00-05:00,178718
2024-01-03 23:00:00-05:00,179097
2024-01-04 00:00:00-05:00,176057
2024-01-04 01:00:00-05:00,175723
2024-01-04 02:00:00-05:00,175668
2024-01-04 03:00:00-05:00,175805
2024-01-04 04:00:00-05:00,176049
2024-01-04 05:00:00-05:00,176600
2024-01-04 06:00:00-05:00,176861
2024-01-04 07:00:00-05:00,177019
2024-01-04 08:00:00-05:00,177793
2024-01-04 09:00:00-05:00,178223
2024-01-04 10:00:00-05:00,178505
2024-01-04 11:00:00-05:00,177798
2024-01-04 12:00:00-05:00,177612
2024-01-04 13:00:00-05:00,177475
2024-01-04 14:00:00-05:00,177396
2024-01-04 15:00:00-05:00,178002
2024-01-04 16:00:00-05:00,177260
2024-01-04 17:00:00-05:00,176923
2024-01-04 18:00:00-05:00,177199
2024-01-04 19:00:00-05:00,178468
2024-01-04 20:00:00-05:00,178915
2024-01-04 21:00:00-05:00,179264
2024-01-04 22:00:00-05:00,178930
2024-01-04 23:00:00-05:00,179319
2024-01-05 00:00:00-05:00,175139
2024-01-05 01:00:00-05:00,175195
2024-01-05 02:00:00-05:00,174924
2024-01-05 03:00:00-05:00,175411
2024-01-05 04:00:00-05:00,175025
2024-01-05 05:00:00-05:00,176578
2024-01-05 06:00:00-05:00,177288
2024-01-05 07:00:00-05:00,177551
2024-01-05 08:00:00-05:00,178842
2024-01-05 09:00:00-05:00,178959
2024-01-05 10:00:00-05:00,178223
2024-01-05 11:00:00-05:00,177481
2024-01-05 12:00:00-05:00,176944
2024-01-05 13:00:00-05:00,177145
2024-01-05 14:00:00-05:00,177420
2024-01-05 15:00:00-05:00,176952
2024-01-05 16:00:00-05:00,176164
2024-01-05 17:00:00-05:00,176878
2024-01-05 18:00:00-05:00,177697
2024-01-05 19:00:00-05:00,180214
2024-01-05 20:00:00-05:00,180374
2024-01-05 21:00:00-05:00,180086
2024-01-05 22:00:00-05:00,180093
2024-01-05 23:00:00-05:00,180208
2024-01-06 00:00:00-05:00,175734
2024-01-06 01:00:00-05:00,176217
2024-01-06 02:00:00-05:00,176244
2024-01-06 03:00:00-05:00,176236
2024-01-06 04:00:00-05:00,176599
2024-01-06 05:00:00-05:00,176461
2024-01-06 06:00:00-05:00,177096
2024-01-06 07:00:00-05:00,176974
2024-01-06 08:00:00-05:00,176542
2024-01-06 09:00:00-05:00,176810
2024-01-06 10:00:00-05:00,176778
2024-01-06 11:00:00-05:00,176536
2024-01-06 12:00:00-05:00,176576
2024-01-06 13:00:00-05:00,175911
2024-01-06 14:00:00-05:00,175752
2024-01-06 15:00:00-05:00,176661
2024-01-06 16:00:00-05:00,176600
2024-01-06 17:00:00-05:00,176762
2024-01-06 18:00:00-05:00,176733
2024-01-06 19:00:00-05:00,179301
2024-01-06 20:00:00-05:00,179220
2024-01-06 21:00:00-05:00,179340
2024-01-06 22:00:00-05:00,179646
2024-01-06 23:00:00-05:00,179889
2024-01-07 00:00:00-05:00,175656
2024-01-07 01:00:00-05:00,175693
2024-01-07 02:00:00-05:00,175763
2024-01-07 03:00:00-05:00,176676
2024-01-07 04:00:00-05:00,177203
2024-01-07 05:00:00-05:00,177566
2024-01-07 06:00:00-05:00,178219
2024-01-07 07:00:00-05:00,178446
2024-01-07 08:00:00-05:00,178917
2024-01-07 09:00:00-05:00,179987
2024-01-07 10:00:00-05:00,180892
2024-01-07 11:00:00-05:00,180943
2024-01-07 12:00:00-05:00,181053
2024-01-07 13:00:00-05:00,180670
2024-01-07 14:00:00-05:00,180048
2024-01-07 15:00:00-05:00,180186
2024-01-07 16:00:00-05:00,179990
2024-01-07 17:00:00-05:00,179642
2024-01-07 18:00:00-05:00,178776
2024-01-07 19:00:00-05:00,180387
2024-01-07 20:00:00-05:00,179833
2024-01-07 21:00:00-05:00,179954
2024-01-07 22:00:00-05:00,179891
2024-01-07 23:00:00-05:00,180012
2024-01-08 00:00:00-05:00,175980
2024-01-08 01:00:00-05:00,175670
2024-01-08 02:00:00-05:00,175772
2024-01-08 03:00:00-05:00,175792
2024-01-08 04:00:00-05:00,176462
2024-01-08 05:00:00-05:00,176947
2024-01-08 06:00:00-05:00,177872
2024-01-08 07:00:00-05:00,178384
2024-01-08 08:00:00-05:00,180090
2024-01-08 09:00:00-05:00,181596
2024-01-08 10:00:00-05:00,181966
2024-01-08 11:00:00-05:00,181223
