bid_datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,176986.20,179069.50,168551.70
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,176487.10,178973.70,168551.70
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,176386.50,178872.80,168551.70
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,175633.40,178156.70,168551.70
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,175499.00,178015.10,168551.70
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,176458.00,178353.20,168551.70
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,176730.90,178457.60,168551.70
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,177189.40,178801.60,168551.70
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,177514.90,179195.60,168551.70
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,177866.70,179439.40,168551.70
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,177450.30,178730.10,168551.70
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,177084.50,177994.20,168551.70
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,176494.10,177404.00,168551.70
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,175925.80,176836.90,168551.70
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,175617.60,176522.20,168551.70
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,175575.90,176474.80,168551.70
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,176032.30,176739.00,168551.70
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,176349.50,176785.70,168551.70
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,176546.20,177009.40,168551.70
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,178850.10,180045.70,168551.70
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,179457.80,180645.40,168551.70
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,179557.80,180722.40,168551.70
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,179070.80,180235.40,168551.70
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,179163.20,180337.80,168551.70
1/2/2024 5:00:00 AM,1/2/2024 12:00:00 AM,175319.60,177397.90,168551.70
1/2/2024 6:00:00 AM,1/2/2024 1:00:00 AM,174911.50,177376.50,168551.70
1/2/2024 7:00:00 AM,1/2/2024 2:00:00 AM,175766.20,178195.10,168551.70
1/2/2024 8:00:00 AM,1/2/2024 3:00:00 AM,175730.10,178168.70,168551.70
1/2/2024 9:00:00 AM,1/2/2024 4:00:00 AM,175981.00,178395.20,168551.70
1/2/2024 10:00:00 AM,1/2/2024 5:00:00 AM,177687.10,179102.90,168551.70
1/2/2024 11:00:00 AM,1/2/2024 6:00:00 AM,178681.70,179485.50,168551.70
1/2/2024 12:00:00 PM,1/2/2024 7:00:00 AM,179692.40,180350.10,168551.70
1/2/2024 1:00:00 PM,1/2/2024 8:00:00 AM,181346.60,182114.30,168551.70
1/2/2024 2:00:00 PM,1/2/2024 9:00:00 AM,182611.50,183357.70,168551.70
1/2/2024 3:00:00 PM,1/2/2024 10:00:00 AM,181960.20,183138.30,168551.70
1/2/2024 4:00:00 PM,1/2/2024 11:00:00 AM,181679.10,183049.60,168551.70
1/2/2024 5:00:00 PM,1/2/2024 12:00:00 PM,181873.20,183342.50,168551.70
1/2/2024 6:00:00 PM,1/2/2024 1:00:00 PM,181590.80,183102.60,168551.70
1/2/2024 7:00:00 PM,1/2/2024 2:00:00 PM,181223.80,182728.60,168551.70
1/2/2024 8:00:00 PM,1/2/2024 3:00:00 PM,180596.70,182115.30,168551.70
1/2/2024 9:00:00 PM,1/2/2024 4:00:00 PM,179623.80,180597.80,168551.70
1/2/2024 10:00:00 PM,1/2/2024 5:00:00 PM,179939.50,180210.60,168551.70
1/2/2024 11:00:00 PM,1/2/2024 6:00:00 PM,179664.50,180007.40,168551.70
1/3/2024 12:00:00 AM,1/2/2024 7:00:00 PM,177868.40,179065.20,168551.70
1/3/2024 1:00:00 AM,1/2/2024 8:00:00 PM,177498.90,178680.70,168551.70
1/3/2024 2:00:00 AM,1/2/2024 9:00:00 PM,177355.10,178565.90,168551.70
1/3/2024 3:00:00 AM,1/2/2024 10:00:00 PM,177596.10,178803.90,168551.70
1/3/2024 4:00:00 AM,1/2/2024 11:00:00 PM,177660.00,178867.80,168551.70
1/3/2024 5:00:00 AM,1/3/2024 12:00:00 AM,174888.80,176882.30,168551.70
1/3/2024 6:00:00 AM,1/3/2024 1:00:00 AM,173883.20,176250.00,168551.70
1/3/2024 7:00:00 AM,1/3/2024 2:00:00 AM,173940.10,176304.90,168551.70
1/3/2024 8:00:00 AM,1/3/2024 3:00:00 AM,173812.10,176192.00,168551.70
