Time,Load MW,Forecast MW,Degrees F,Day,DoW,Month,Hour
2020-01-01 01:00:00-05:00,77571,79636,38,1,2,1,1
2020-01-01 02:00:00-05:00,76186,78620,38,1,2,1,2
2020-01-01 03:00:00-05:00,75693,78427,38,1,2,1,3
2020-01-01 04:00:00-05:00,76244,79164,37,1,2,1,4
2020-01-01 05:00:00-05:00,77623,80967,37,1,2,1,5
2020-01-01 06:00:00-05:00,79754,83807,37,1,2,1,6
2020-01-01 07:00:00-05:00,81602,87057,37,1,2,1,7
2020-01-01 08:00:00-05:00,82170,89247,37,1,2,1,8
2020-01-01 09:00:00-05:00,82711,89668,38,1,2,1,9
2020-01-01 10:00:00-05:00,82750,88687,39,1,2,1,10
2020-01-01 11:00:00-05:00,82395,87322,41,1,2,1,11
2020-01-01 12:00:00-05:00,81729,86012,41,1,2,1,12
2020-01-01 13:00:00-05:00,80565,84680,46,1,2,1,13
2020-01-01 14:00:00-05:00,79782,83977,47,1,2,1,14
2020-01-01 15:00:00-05:00,80229,84499,48,1,2,1,15
2020-01-01 16:00:00-05:00,83216,87813,48,1,2,1,16
2020-01-01 17:00:00-05:00,89867,94270,42,1,2,1,17
2020-01-01 18:00:00-05:00,92265,96246,41,1,2,1,18
2020-01-01 19:00:00-05:00,92443,96136,41,1,2,1,19
2020-01-01 20:00:00-05:00,91798,95478,41,1,2,1,20
2020-01-01 21:00:00-05:00,89854,93280,41,1,2,1,21
2020-01-01 22:00:00-05:00,86511,89710,40,1,2,1,22
2020-01-01 23:00:00-05:00,83225,85671,40,1,2,1,23
2020-01-02 00:00:00-05:00,80960,83345,36,2,3,1,0
2020-01-02 01:00:00-05:00,79968,81590,36,2,3,1,1
2020-01-02 02:00:00-05:00,79855,80949,36,2,3,1,2
2020-01-02 03:00:00-05:00,80494,81257,36,2,3,1,3
2020-01-02 04:00:00-05:00,82952,83196,36,2,3,1,4
2020-01-02 05:00:00-05:00,88011,87904,35,2,3,1,5
2020-01-02 06:00:00-05:00,95327,94919,36,2,3,1,6
2020-01-02 07:00:00-05:00,100370,99181,36,2,3,1,7
2020-01-02 08:00:00-05:00,100100,98975,36,2,3,1,8
2020-01-02 09:00:00-05:00,97655,97197,41,2,3,1,9
2020-01-02 10:00:00-05:00,95183,95263,42,2,3,1,10
2020-01-02 11:00:00-05:00,92961,93365,49,2,3,1,11
2020-01-02 12:00:00-05:00,91305,91618,50,2,3,1,12
2020-01-02 13:00:00-05:00,90347,90421,50,2,3,1,13
2020-01-02 14:00:00-05:00,89695,89611,50,2,3,1,14
2020-01-02 15:00:00-05:00,89551,89795,50,2,3,1,15
2020-01-02 16:00:00-05:00,91762,92464,50,2,3,1,16
2020-01-02 17:00:00-05:00,96797,97662,50,2,3,1,17
2020-01-02 18:00:00-05:00,97227,98400,50,2,3,1,18
2020-01-02 19:00:00-05:00,95609,97255,50,2,3,1,19
2020-01-02 20:00:00-05:00,93374,95672,49,2,3,1,20
2020-01-02 21:00:00-05:00,89804,92682,50,2,3,1,21
2020-01-02 22:00:00-05:00,84837,87922,50,2,3,1,22
2020-01-02 23:00:00-05:00,79894,82895,50,2,3,1,23
2020-01-03 00:00:00-05:00,76126,78302,49,3,4,1,0
2020-01-03 01:00:00-05:00,74015,75900,49,3,4,1,1
2020-01-03 02:00:00-05:00,72807,74729,49,3,4,1,2
2020-01-03 03:00:00-05:00,72681,74477,49,3,4,1,3
2020-01-03 04:00:00-05:00,74013,75876,49,3,4,1,4
2020-01-03 05:00:00-05:00,77799,79926,49,3,4,1,5
2020-01-03 06:00:00-05:00,84200,86673,49,3,4,1,6
2020-01-03 07:00:00-05:00,88739,91451,49,3,4,1,7
2020-01-03 08:00:00-05:00,90167,92489,49,3,4,1,8
2020-01-03 09:00:00-05:00,90511,92414,50,3,4,1,9
2020-01-03 10:00:00-05:00,90806,92090,50,3,4,1,10
2020-01-03 11:00:00-05:00,90542,91145,50,3,4,1,11
2020-01-03 12:00:00-05:00,90162,89923,50,3,4,1,12
2020-01-03 13:00:00-05:00,89862,89103,51,3,4,1,13
2020-01-03 14:00:00-05:00,89236,88364,56,3,4,1,14
2020-01-03 15:00:00-05:00,88904,88273,57,3,4,1,15
2020-01-03 16:00:00-05:00,90400,90085,55,3,4,1,16
2020-01-03 17:00:00-05:00,93403,93885,51,3,4,1,17
2020-01-03 18:00:00-05:00,92747,93697,50,3,4,1,18
2020-01-03 19:00:00-05:00,90843,91832,50,3,4,1,19
2020-01-03 20:00:00-05:00,88666,89881,50,3,4,1,20
2020-01-03 21:00:00-05:00,85840,87387,50,3,4,1,21
2020-01-03 22:00:00-05:00,81866,83627,50,3,4,1,22
2020-01-03 23:00:00-05:00,77332,79127,50,3,4,1,23
2020-01-04 00:00:00-05:00,73606,74571,50,4,5,1,0
2020-01-04 01:00:00-05:00,71097,71943,50,4,5,1,1
2020-01-04 02:00:00-05:00,69572,70517,49,4,5,1,2
2020-01-04 03:00:00-05:00,68897,69915,49,4,5,1,3
2020-01-04 04:00:00-05:00,69212,70312,49,4,5,1,4
2020-01-04 05:00:00-05:00,70668,71934,48,4,5,1,5
2020-01-04 06:00:00-05:00,73282,74534,48,4,5,1,6
2020-01-04 07:00:00-05:00,76452,78174,47,4,5,1,7
2020-01-04 08:00:00-05:00,79330,81408,47,4,5,1,8
2020-01-04 09:00:00-05:00,81933,83567,46,4,5,1,9
2020-01-04 10:00:00-05:00,83801,84243,46,4,5,1,10
