utc,value,local,mo,hr,dofw,pv,trend,tmpf
2022-01-01 05:00:00+00:00,0.172414,2022-01-01 00:00:00-05:00,1,0,5,0.0,0.16410132,73.4
2022-01-01 06:00:00+00:00,0.172414,2022-01-01 01:00:00-05:00,1,1,5,0.0,0.16410168,72.9
2022-01-01 07:00:00+00:00,0.155172,2022-01-01 02:00:00-05:00,1,2,5,0.0,0.16410204,72.1
2022-01-01 08:00:00+00:00,0.155172,2022-01-01 03:00:00-05:00,1,3,5,0.0,0.1641024,72.5
2022-01-01 09:00:00+00:00,0.137931,2022-01-01 04:00:00-05:00,1,4,5,0.0,0.16410276,72.0
2022-01-01 10:00:00+00:00,0.137931,2022-01-01 05:00:00-05:00,1,5,5,0.0,0.16410312,71.4
2022-01-01 11:00:00+00:00,0.137931,2022-01-01 06:00:00-05:00,1,6,5,0.0,0.16410348,71.6
2022-01-01 12:00:00+00:00,0.137931,2022-01-01 07:00:00-05:00,1,7,5,0.0,0.16410384,69.8
2022-01-01 13:00:00+00:00,0.137931,2022-01-01 08:00:00-05:00,1,8,5,0.018201276289496134,0.1641042,69.8
2022-01-01 14:00:00+00:00,0.103448,2022-01-01 09:00:00-05:00,1,9,5,0.20768345002174157,0.16410456,70.3
2022-01-01 15:00:00+00:00,0.051724,2022-01-01 10:00:00-05:00,1,10,5,0.39206166303853507,0.16410492,72.1
2022-01-01 16:00:00+00:00,-0.137931,2022-01-01 11:00:00-05:00,1,11,5,0.529780077342042,0.16410528,77.5
2022-01-01 17:00:00+00:00,-0.224138,2022-01-01 12:00:00-05:00,1,12,5,0.6088402280875589,0.16410564,80.1
2022-01-01 18:00:00+00:00,-0.224138,2022-01-01 13:00:00-05:00,1,13,5,0.6232823495890898,0.164106,82.6
2022-01-01 19:00:00+00:00,-0.155172,2022-01-01 14:00:00-05:00,1,14,5,0.5720489938331021,0.16410636,83.3
2022-01-01 20:00:00+00:00,-0.051724,2022-01-01 15:00:00-05:00,1,15,5,0.4589293928563391,0.16410672,81.3
2022-01-01 21:00:00+00:00,-0.034483,2022-01-01 16:00:00-05:00,1,16,5,0.2929158441077571,0.16410708,81.0
2022-01-01 22:00:00+00:00,0.12069,2022-01-01 17:00:00-05:00,1,17,5,0.09364731558650813,0.16410744,80.1
2022-01-01 23:00:00+00:00,0.189655,2022-01-01 18:00:00-05:00,1,18,5,0.0,0.1641078,76.5
2022-01-02 00:00:00+00:00,0.206897,2022-01-01 19:00:00-05:00,1,19,5,0.0,0.16410816,74.7
2022-01-02 01:00:00+00:00,0.189655,2022-01-01 20:00:00-05:00,1,20,5,0.0,0.16410852,71.8
2022-01-02 02:00:00+00:00,0.189655,2022-01-01 21:00:00-05:00,1,21,5,0.0,0.16410888,71.2
2022-01-02 03:00:00+00:00,0.172414,2022-01-01 22:00:00-05:00,1,22,5,0.0,0.16410924,72.0
2022-01-02 04:00:00+00:00,0.172414,2022-01-01 23:00:00-05:00,1,23,5,0.0,0.1641096,71.8
2022-01-02 05:00:00+00:00,0.155172,2022-01-02 00:00:00-05:00,1,0,6,0.0,0.16410996,71.4
2022-01-02 06:00:00+00:00,0.155172,2022-01-02 01:00:00-05:00,1,1,6,0.0,0.16411032,71.4
2022-01-02 07:00:00+00:00,0.155172,2022-01-02 02:00:00-05:00,1,2,6,0.0,0.16411068,71.2
2022-01-02 08:00:00+00:00,0.155172,2022-01-02 03:00:00-05:00,1,3,6,0.0,0.16411104,71.6
2022-01-02 09:00:00+00:00,0.137931,2022-01-02 04:00:00-05:00,1,4,6,0.0,0.1641114,71.2
2022-01-02 10:00:00+00:00,0.137931,2022-01-02 05:00:00-05:00,1,5,6,0.0,0.16411176,71.8
2022-01-02 11:00:00+00:00,0.137931,2022-01-02 06:00:00-05:00,1,6,6,0.0,0.16411212,71.8
2022-01-02 12:00:00+00:00,0.137931,2022-01-02 07:00:00-05:00,1,7,6,0.0,0.16411248,71.4
2022-01-02 13:00:00+00:00,0.155172,2022-01-02 08:00:00-05:00,1,8,6,0.01781395116252045,0.16411284,70.9
2022-01-02 14:00:00+00:00,0.12069,2022-01-02 09:00:00-05:00,1,9,6,0.2072927472447807,0.1641132,73.9
2022-01-02 15:00:00+00:00,0.051724,2022-01-02 10:00:00-05:00,1,10,6,0.39208923662305517,0.16411356,76.5
2022-01-02 16:00:00+00:00,0.068966,2022-01-02 11:00:00-05:00,1,11,6,0.5302982927200627,0.16411392,76.8
2022-01-02 17:00:00+00:00,-0.051724,2022-01-02 12:00:00-05:00,1,12,6,0.6098729765044721,0.16411428,80.6
2022-01-02 18:00:00+00:00,-0.034483,2022-01-02 13:00:00-05:00,1,13,6,0.6248153516425569,0.16411464,80.2
2022-01-02 19:00:00+00:00,-0.017241,2022-01-02 14:00:00-05:00,1,14,6,0.5740316542779188,0.164115,83.1
2022-01-02 20:00:00+00:00,0.068966,2022-01-02 15:00:00-05:00,1,15,6,0.46127549148866187,0.16411536,81.9
2022-01-02 21:00:00+00:00,0.12069,2022-01-02 16:00:00-05:00,1,16,6,0.29549232715476803,0.16411572,78.6
2022-01-02 22:00:00+00:00,0.189655,2022-01-02 17:00:00-05:00,1,17,6,0.096073538291185,0.16411608,72.5
2022-01-02 23:00:00+00:00,0.172414,2022-01-02 18:00:00-05:00,1,18,6,0.0,0.16411644,68.0
2022-01-03 00:00:00+00:00,0.189655,2022-01-02 19:00:00-05:00,1,19,6,0.0,0.1641168,68.0
2022-01-03 01:00:00+00:00,0.189655,2022-01-02 20:00:00-05:00,1,20,6,0.0,0.16411716,68.0
2022-01-03 02:00:00+00:00,0.172414,2022-01-02 21:00:00-05:00,1,21,6,0.0,0.16411752,68.0
2022-01-03 03:00:00+00:00,0.172414,2022-01-02 22:00:00-05:00,1,22,6,0.0,0.16411788,69.8
2022-01-03 04:00:00+00:00,0.172414,2022-01-02 23:00:00-05:00,1,23,6,0.0,0.16411824,65.8
2022-01-03 05:00:00+00:00,0.155172,2022-01-03 00:00:00-05:00,1,0,0,0.0,0.1641186,55.0
2022-01-03 06:00:00+00:00,0.137931,2022-01-03 01:00:00-05:00,1,1,0,0.0,0.16411896,52.0
2022-01-03 07:00:00+00:00,0.12069,2022-01-03 02:00:00-05:00,1,2,0,0.0,0.16411932,47.8
2022-01-03 08:00:00+00:00,0.12069,2022-01-03 03:00:00-05:00,1,3,0,0.0,0.16411968,44.8
2022-01-03 09:00:00+00:00,0.12069,2022-01-03 04:00:00-05:00,1,4,0,0.0,0.16412004,42.8
2022-01-03 10:00:00+00:00,0.137931,2022-01-03 05:00:00-05:00,1,5,0,0.0,0.1641204,40.3
2022-01-03 11:00:00+00:00,0.172414,2022-01-03 06:00:00-05:00,1,6,0,0.0,0.16412076,38.5
2022-01-03 12:00:00+00:00,0.189655,2022-01-03 07:00:00-05:00,1,7,0,0.0,0.16412112,37.9
2022-01-03 13:00:00+00:00,0.396552,2022-01-03 08:00:00-05:00,1,8,0,0.017480143479896213,0.16412148,37.4
2022-01-03 14:00:00+00:00,0.465517,2022-01-03 09:00:00-05:00,1,9,0,0.20700172768770397,0.16412184,37.9
2022-01-03 15:00:00+00:00,0.482759,2022-01-03 10:00:00-05:00,1,10,0,0.3922222659957068,0.1641222,38.8
2022-01-03 16:00:00+00:00,0.465517,2022-01-03 11:00:00-05:00,1,11,0,0.5309228292154184,0.16412256,39.7
2022-01-03 17:00:00+00:00,0.431034,2022-01-03 12:00:00-05:00,1,12,0,0.6110101254341781,0.16412292,41.5
2022-01-03 18:00:00+00:00,0.431034,2022-01-03 13:00:00-05:00,1,13,0,0.6264485868477635,0.16412328,42.1
2022-01-03 19:00:00+00:00,0.37931,2022-01-03 14:00:00-05:00,1,14,0,0.5761085036608483,0.16412364,43.7
2022-01-03 20:00:00+00:00,0.12069,2022-01-03 15:00:00-05:00,1,15,0,0.4637082101154879,0.164124,44.8
2022-01-03 21:00:00+00:00,0.137931,2022-01-03 16:00:00-05:00,1,16,0,0.2981466571513336,0.16412436,47.1
2022-01-03 22:00:00+00:00,0.293103,2022-01-03 17:00:00-05:00,1,17,0,0.09857098164976645,0.16412472,46.0
2022-01-03 23:00:00+00:00,0.551724,2022-01-03 18:00:00-05:00,1,18,0,0.0,0.16412508,43.7
2022-01-04 00:00:00+00:00,0.655172,2022-01-03 19:00:00-05:00,1,19,0,0.0,0.16412544,41.4
2022-01-04 01:00:00+00:00,0.396552,2022-01-03 20:00:00-05:00,1,20,0,0.0,0.1641258,40.3
2022-01-04 02:00:00+00:00,0.396552,2022-01-03 21:00:00-05:00,1,21,0,0.0,0.16412616,39.9
2022-01-04 03:00:00+00:00,0.37931,2022-01-03 22:00:00-05:00,1,22,0,0.0,0.16412652,39.0
2022-01-04 04:00:00+00:00,0.37931,2022-01-03 23:00:00-05:00,1,23,0,0.0,0.16412688,36.5
2022-01-04 05:00:00+00:00,0.37931,2022-01-04 00:00:00-05:00,1,0,1,0.0,0.16412724,36.3
2022-01-04 06:00:00+00:00,0.362069,2022-01-04 01:00:00-05:00,1,1,1,0.0,0.1641276,35.8
2022-01-04 07:00:00+00:00,0.362069,2022-01-04 02:00:00-05:00,1,2,1,0.0,0.16412796,35.6
2022-01-04 08:00:00+00:00,0.362069,2022-01-04 03:00:00-05:00,1,3,1,0.0,0.16412832,35.2
2022-01-04 09:00:00+00:00,0.344828,2022-01-04 04:00:00-05:00,1,4,1,0.0,0.16412868,34.3
2022-01-04 10:00:00+00:00,0.37931,2022-01-04 05:00:00-05:00,1,5,1,0.0,0.16412904,33.8
2022-01-04 11:00:00+00:00,0.396552,2022-01-04 06:00:00-05:00,1,6,1,0.0,0.1641294,33.6
2022-01-04 12:00:00+00:00,0.448276,2022-01-04 07:00:00-05:00,1,7,1,0.0,0.16412976,33.4
2022-01-04 13:00:00+00:00,0.689655,2022-01-04 08:00:00-05:00,1,8,1,0.01719910831662122,0.16413012,34.3
2022-01-04 14:00:00+00:00,0.689655,2022-01-04 09:00:00-05:00,1,9,1,0.2068111087077279,0.16413048,37.2
2022-01-04 15:00:00+00:00,0.551724,2022-01-04 10:00:00-05:00,1,10,1,0.3924611396420616,0.16413084,41.4
2022-01-04 16:00:00+00:00,0.448276,2022-01-04 11:00:00-05:00,1,11,1,0.5316536464669548,0.1641312,46.2
2022-01-04 17:00:00+00:00,0.465517,2022-01-04 12:00:00-05:00,1,12,1,0.6122511890092273,0.16413156,50.7
2022-01-04 18:00:00+00:00,0.465517,2022-01-04 13:00:00-05:00,1,13,1,0.6281811457395161,0.16413192,53.4
2022-01-04 19:00:00+00:00,0.344828,2022-01-04 14:00:00-05:00,1,14,1,0.5782782647607276,0.16413228,55.4
2022-01-04 20:00:00+00:00,0.448276,2022-01-04 15:00:00-05:00,1,15,1,0.4662259956243556,0.16413264,56.5
2022-01-04 21:00:00+00:00,0.310345,2022-01-04 16:00:00-05:00,1,16,1,0.30087716114913265,0.164133,57.0
2022-01-04 22:00:00+00:00,0.344828,2022-01-04 17:00:00-05:00,1,17,1,0.10113838577861779,0.16413336,57.2
2022-01-04 23:00:00+00:00,0.517241,2022-01-04 18:00:00-05:00,1,18,1,0.0,0.16413372,51.8
2022-01-05 00:00:00+00:00,0.603448,2022-01-04 19:00:00-05:00,1,19,1,0.0,0.16413408,50.7
2022-01-05 01:00:00+00:00,0.362069,2022-01-04 20:00:00-05:00,1,20,1,0.0,0.16413444,48.6
2022-01-05 02:00:00+00:00,0.344828,2022-01-04 21:00:00-05:00,1,21,1,0.0,0.1641348,46.6
2022-01-05 03:00:00+00:00,0.344828,2022-01-04 22:00:00-05:00,1,22,1,0.0,0.16413516,47.1
2022-01-05 04:00:00+00:00,0.327586,2022-01-04 23:00:00-05:00,1,23,1,0.0,0.16413552,48.4
2022-01-05 05:00:00+00:00,0.310345,2022-01-05 00:00:00-05:00,1,0,2,0.0,0.16413588,48.2
2022-01-05 06:00:00+00:00,0.293103,2022-01-05 01:00:00-05:00,1,1,2,0.0,0.16413624,49.1
2022-01-05 07:00:00+00:00,0.275862,2022-01-05 02:00:00-05:00,1,2,2,0.0,0.1641366,49.3
2022-01-05 08:00:00+00:00,0.275862,2022-01-05 03:00:00-05:00,1,3,2,0.0,0.16413696,49.6
2022-01-05 09:00:00+00:00,0.258621,2022-01-05 04:00:00-05:00,1,4,2,0.0,0.16413732,50.0
2022-01-05 10:00:00+00:00,0.241379,2022-01-05 05:00:00-05:00,1,5,2,0.0,0.16413768,50.2
2022-01-05 11:00:00+00:00,0.293103,2022-01-05 06:00:00-05:00,1,6,2,0.0,0.16413804,50.5
2022-01-05 12:00:00+00:00,0.344828,2022-01-05 07:00:00-05:00,1,7,2,0.0,0.1641384,50.9
2022-01-05 13:00:00+00:00,0.568966,2022-01-05 08:00:00-05:00,1,8,2,0.016970247643615984,0.16413876,50.7
2022-01-05 14:00:00+00:00,0.534483,2022-01-05 09:00:00-05:00,1,9,2,0.20672156909240869,0.16413912,51.8
2022-01-05 15:00:00+00:00,0.344828,2022-01-05 10:00:00-05:00,1,10,2,0.39280619041580145,0.16413948,55.2
2022-01-05 16:00:00+00:00,0.189655,2022-01-05 11:00:00-05:00,1,11,2,0.5324906427350156,0.16413984,59.7
2022-01-05 17:00:00+00:00,0.12069,2022-01-05 12:00:00-05:00,1,12,2,0.6135956186968483,0.1641402,62.1
2022-01-05 18:00:00+00:00,0.103448,2022-01-05 13:00:00-05:00,1,13,2,0.6300120583201364,0.16414056,63.5
2022-01-05 19:00:00+00:00,0.241379,2022-01-05 14:00:00-05:00,1,14,2,0.5805396048938091,0.16414092,63.5
2022-01-05 20:00:00+00:00,0.293103,2022-01-05 15:00:00-05:00,1,15,2,0.4688272467857892,0.16414128,62.4
2022-01-05 21:00:00+00:00,0.293103,2022-01-05 16:00:00-05:00,1,16,2,0.3036821252936899,0.16414164,66.2
