utc,value,local,mo,hr,dofw,pv,trend,lag,tmpf
2022-01-01 00:00:00+00:00,0.563404,2021-12-31 14:00:00-10:00,12,14,4,0.7111395660487579,0.16409952,,75.0
2022-01-01 01:00:00+00:00,0.60766,2021-12-31 15:00:00-10:00,12,15,4,0.5807078442889081,0.16409988,,75.9
2022-01-01 02:00:00+00:00,0.542128,2021-12-31 16:00:00-10:00,12,16,4,0.39324572857687806,0.16410024,,77.0
2022-01-01 03:00:00+00:00,0.485958,2021-12-31 17:00:00-10:00,12,17,4,0.16598524321248212,0.1641006,,75.0
2022-01-01 04:00:00+00:00,0.457872,2021-12-31 18:00:00-10:00,12,18,4,0.0,0.16410096,,75.0
2022-01-01 05:00:00+00:00,0.457021,2021-12-31 19:00:00-10:00,12,19,4,0.0,0.16410132,,78.1
2022-01-01 06:00:00+00:00,0.484255,2021-12-31 20:00:00-10:00,12,20,4,0.0,0.16410168,,75.9
2022-01-01 07:00:00+00:00,0.494468,2021-12-31 21:00:00-10:00,12,21,4,0.0,0.16410204,,77.0
2022-01-01 08:00:00+00:00,0.445958,2021-12-31 22:00:00-10:00,12,22,4,0.0,0.1641024,,77.0
2022-01-01 09:00:00+00:00,0.531064,2021-12-31 23:00:00-10:00,12,23,4,0.0,0.16410276,,75.0
2022-01-01 10:00:00+00:00,0.563404,2022-01-01 00:00:00-10:00,1,0,5,0.0,0.16410312,,73.9
2022-01-01 11:00:00+00:00,0.60766,2022-01-01 01:00:00-10:00,1,1,5,0.0,0.16410348,,73.9
2022-01-01 12:00:00+00:00,0.542128,2022-01-01 02:00:00-10:00,1,2,5,0.0,0.16410384,,75.0
2022-01-01 13:00:00+00:00,0.485958,2022-01-01 03:00:00-10:00,1,3,5,0.0,0.1641042,,75.0
2022-01-01 14:00:00+00:00,0.457872,2022-01-01 04:00:00-10:00,1,4,5,0.0,0.16410456,,77.0
2022-01-01 15:00:00+00:00,0.457021,2022-01-01 05:00:00-10:00,1,5,5,0.0,0.16410492,,77.0
2022-01-01 16:00:00+00:00,0.484255,2022-01-01 06:00:00-10:00,1,6,5,0.0,0.16410528,,77.0
2022-01-01 17:00:00+00:00,0.494468,2022-01-01 07:00:00-10:00,1,7,5,0.0,0.16410564,,75.9
2022-01-01 18:00:00+00:00,0.445958,2022-01-01 08:00:00-10:00,1,8,5,0.11695282873498526,0.164106,,77.0
2022-01-01 19:00:00+00:00,0.531064,2022-01-01 09:00:00-10:00,1,9,5,0.3484119161150627,0.16410636,,75.9
2022-01-01 20:00:00+00:00,0.506383,2022-01-01 10:00:00-10:00,1,10,5,0.5462752892098454,0.16410672,,73.9
2022-01-01 21:00:00+00:00,0.559149,2022-01-01 11:00:00-10:00,1,11,5,0.6898775832095198,0.16410708,,72.0
2022-01-01 22:00:00+00:00,0.325106,2022-01-01 12:00:00-10:00,1,12,5,0.7683111970838337,0.16410744,,73.9
2022-01-01 23:00:00+00:00,0.537021,2022-01-01 13:00:00-10:00,1,13,5,0.7759398017323902,0.1641078,,75.9
2022-01-02 00:00:00+00:00,0.514043,2022-01-01 14:00:00-10:00,1,14,5,0.7122215762494427,0.16410816,,73.0
2022-01-02 01:00:00+00:00,0.467234,2022-01-01 15:00:00-10:00,1,15,5,0.5817148811314047,0.16410852,,73.0
2022-01-02 02:00:00+00:00,0.699575,2022-01-01 16:00:00-10:00,1,16,5,0.3941418528230997,0.16410888,,70.0
2022-01-02 03:00:00+00:00,0.739574,2022-01-01 17:00:00-10:00,1,17,5,0.16671908008607408,0.16410924,,71.1
2022-01-02 04:00:00+00:00,0.738724,2022-01-01 18:00:00-10:00,1,18,5,0.0,0.1641096,,70.0
2022-01-02 05:00:00+00:00,0.787234,2022-01-01 19:00:00-10:00,1,19,5,0.0,0.16410996,,70.0
2022-01-02 06:00:00+00:00,0.737872,2022-01-01 20:00:00-10:00,1,20,5,0.0,0.16411032,,70.0
2022-01-02 07:00:00+00:00,0.689362,2022-01-01 21:00:00-10:00,1,21,5,0.0,0.16411068,,70.0
2022-01-02 08:00:00+00:00,0.603404,2022-01-01 22:00:00-10:00,1,22,5,0.0,0.16411104,,69.1
2022-01-02 09:00:00+00:00,0.579574,2022-01-01 23:00:00-10:00,1,23,5,0.0,0.1641114,,69.1
2022-01-02 10:00:00+00:00,0.518298,2022-01-02 00:00:00-10:00,1,0,6,0.0,0.16411176,,69.1
2022-01-02 11:00:00+00:00,0.473192,2022-01-02 01:00:00-10:00,1,1,6,0.0,0.16411212,,69.1
2022-01-02 12:00:00+00:00,0.445958,2022-01-02 02:00:00-10:00,1,2,6,0.0,0.16411248,,70.0
2022-01-02 13:00:00+00:00,0.42383,2022-01-02 03:00:00-10:00,1,3,6,0.0,0.16411284,,70.0
2022-01-02 14:00:00+00:00,0.414468,2022-01-02 04:00:00-10:00,1,4,6,0.0,0.1641132,,71.1
2022-01-02 15:00:00+00:00,0.41617,2022-01-02 05:00:00-10:00,1,5,6,0.0,0.16411356,,71.1
2022-01-02 16:00:00+00:00,0.448511,2022-01-02 06:00:00-10:00,1,6,6,0.0,0.16411392,,71.1
2022-01-02 17:00:00+00:00,0.475745,2022-01-02 07:00:00-10:00,1,7,6,0.0,0.16411428,,73.0
2022-01-02 18:00:00+00:00,0.480851,2022-01-02 08:00:00-10:00,1,8,6,0.1159624626187784,0.16411464,,71.1
2022-01-02 19:00:00+00:00,0.427234,2022-01-02 09:00:00-10:00,1,9,6,0.3477136236625975,0.164115,,73.0
2022-01-02 20:00:00+00:00,0.60766,2022-01-02 10:00:00-10:00,1,10,6,0.5460505718703546,0.16411536,,73.0
2022-01-02 21:00:00+00:00,0.614468,2022-01-02 11:00:00-10:00,1,11,6,0.6901921371310599,0.16411572,,72.0
2022-01-02 22:00:00+00:00,0.659574,2022-01-02 12:00:00-10:00,1,12,6,0.7691858040351112,0.16411608,,69.1
2022-01-02 23:00:00+00:00,0.579575,2022-01-02 13:00:00-10:00,1,13,6,0.7773548825596172,0.16411644,,69.1
2022-01-03 00:00:00+00:00,0.485958,2022-01-02 14:00:00-10:00,1,14,6,0.7141192223284633,0.1641168,,69.1
2022-01-03 01:00:00+00:00,0.13617,2022-01-02 15:00:00-10:00,1,15,6,0.5840014132875726,0.16411716,,70.0
2022-01-03 02:00:00+00:00,0.297021,2022-01-02 16:00:00-10:00,1,16,6,0.3966858218834799,0.16411752,,71.1
2022-01-03 03:00:00+00:00,0.557447,2022-01-02 17:00:00-10:00,1,17,6,0.16927733741333553,0.16411788,,73.0
2022-01-03 04:00:00+00:00,0.734468,2022-01-02 18:00:00-10:00,1,18,6,0.0,0.16411824,,72.0
2022-01-03 05:00:00+00:00,0.832341,2022-01-02 19:00:00-10:00,1,19,6,0.0,0.1641186,,71.1
2022-01-03 06:00:00+00:00,0.791489,2022-01-02 20:00:00-10:00,1,20,6,0.0,0.16411896,,70.0
2022-01-03 07:00:00+00:00,0.725958,2022-01-02 21:00:00-10:00,1,21,6,0.0,0.16411932,,69.1
2022-01-03 08:00:00+00:00,0.674042,2022-01-02 22:00:00-10:00,1,22,6,0.0,0.16411968,,69.1
2022-01-03 09:00:00+00:00,0.582979,2022-01-02 23:00:00-10:00,1,23,6,0.0,0.16412004,,66.9
2022-01-03 10:00:00+00:00,0.508085,2022-01-03 00:00:00-10:00,1,0,0,0.0,0.1641204,,68.0
2022-01-03 11:00:00+00:00,0.465532,2022-01-03 01:00:00-10:00,1,1,0,0.0,0.16412076,,69.1
2022-01-03 12:00:00+00:00,0.433192,2022-01-03 02:00:00-10:00,1,2,0,0.0,0.16412112,,70.0
2022-01-03 13:00:00+00:00,0.401702,2022-01-03 03:00:00-10:00,1,3,0,0.0,0.16412148,,70.0
2022-01-03 14:00:00+00:00,0.417021,2022-01-03 04:00:00-10:00,1,4,0,0.0,0.16412184,,70.0
2022-01-03 15:00:00+00:00,0.442553,2022-01-03 05:00:00-10:00,1,5,0,0.0,0.1641222,,70.0
2022-01-03 16:00:00+00:00,0.462979,2022-01-03 06:00:00-10:00,1,6,0,0.0,0.16412256,,71.1
2022-01-03 17:00:00+00:00,0.490213,2022-01-03 07:00:00-10:00,1,7,0,0.0,0.16412292,,70.0
2022-01-03 18:00:00+00:00,0.488511,2022-01-03 08:00:00-10:00,1,8,0,0.11504588049228016,0.16412328,,71.1
2022-01-03 19:00:00+00:00,0.470638,2022-01-03 09:00:00-10:00,1,9,0,0.3471000193218763,0.16412364,,72.0
2022-01-03 20:00:00+00:00,0.565106,2022-01-03 10:00:00-10:00,1,10,0,0.5459137577970662,0.164124,,71.1
2022-01-03 21:00:00+00:00,0.386383,2022-01-03 11:00:00-10:00,1,11,0,0.690594607272784,0.16412436,,73.0
