utc,value,local,mo,hr,dofw,pv,trend,lag,iso,tmpf
2022-01-01 08:00:00+00:00,0.678119,2022-01-01 00:00:00-08:00,1,0,5,0.0,0.1641024,,2873.0,27.0
2022-01-01 09:00:00+00:00,0.661744,2022-01-01 01:00:00-08:00,1,1,5,0.0,0.16410276,,2803.0,26.1
2022-01-01 10:00:00+00:00,0.667333,2022-01-01 02:00:00-08:00,1,2,5,0.0,0.16410312,,2767.0,26.1
2022-01-01 11:00:00+00:00,0.6831,2022-01-01 03:00:00-08:00,1,3,5,0.0,0.16410348,,2751.0,26.1
2022-01-01 12:00:00+00:00,0.717013,2022-01-01 04:00:00-08:00,1,4,5,0.0,0.16410384,,2752.0,25.0
2022-01-01 13:00:00+00:00,0.747671,2022-01-01 05:00:00-08:00,1,5,5,0.0,0.1641042,,2783.0,25.0
2022-01-01 14:00:00+00:00,0.787813,2022-01-01 06:00:00-08:00,1,6,5,0.0,0.16410456,,2858.0,25.0
2022-01-01 15:00:00+00:00,0.829981,2022-01-01 07:00:00-08:00,1,7,5,0.0,0.16410492,,2959.0,24.1
2022-01-01 16:00:00+00:00,0.840125,2022-01-01 08:00:00-08:00,1,8,5,0.0007498642491706373,0.16410528,,3062.0,27.0
2022-01-01 17:00:00+00:00,0.852644,2022-01-01 09:00:00-08:00,1,9,5,0.10101880200668559,0.16410564,,3165.0,27.0
2022-01-01 18:00:00+00:00,0.792315,2022-01-01 10:00:00-08:00,1,10,5,0.230075758950348,0.164106,,3245.0,28.0
2022-01-01 19:00:00+00:00,0.753076,2022-01-01 11:00:00-08:00,1,11,5,0.32094897763183344,0.16410636,,3292.0,28.9
2022-01-01 20:00:00+00:00,0.717898,2022-01-01 12:00:00-08:00,1,12,5,0.36217909068807913,0.16410672,,3276.0,30.9
2022-01-01 21:00:00+00:00,0.610154,2022-01-01 13:00:00-08:00,1,13,5,0.3500302455617517,0.16410708,,3228.0,32.0
2022-01-01 22:00:00+00:00,0.648675,2022-01-01 14:00:00-08:00,1,14,5,0.28555729352818465,0.16410744,,3139.0,33.1
2022-01-01 23:00:00+00:00,0.734438,2022-01-01 15:00:00-08:00,1,15,5,0.17514483913361178,0.1641078,,3087.0,35.1
2022-01-02 00:00:00+00:00,0.783644,2022-01-01 16:00:00-08:00,1,16,5,0.04041109884533805,0.16410816,,3131.0,34.0
