utc,value,local,mo,hr,dofw,pv,trend,iso,tmpf
2022-01-01 07:00:00+00:00,0.420758,2022-01-01 01:00:00-06:00,1,1,5,0.0,0.16410204,5908.031505,75.9
2022-01-01 08:00:00+00:00,0.392404,2022-01-01 02:00:00-06:00,1,2,5,0.0,0.1641024,5708.512022,75.9
2022-01-01 09:00:00+00:00,0.37938,2022-01-01 03:00:00-06:00,1,3,5,0.0,0.16410276,5463.522829,75.9
2022-01-01 10:00:00+00:00,0.356155,2022-01-01 04:00:00-06:00,1,4,5,0.0,0.16410312,5255.252404,75.0
2022-01-01 11:00:00+00:00,0.339557,2022-01-01 05:00:00-06:00,1,5,5,0.0,0.16410348,5164.172158,75.0
2022-01-01 12:00:00+00:00,0.336791,2022-01-01 06:00:00-06:00,1,6,5,0.0,0.16410384,5133.465003,75.0
2022-01-01 13:00:00+00:00,0.320367,2022-01-01 07:00:00-06:00,1,7,5,0.0,0.1641042,5200.964993,73.9
2022-01-01 14:00:00+00:00,0.322556,2022-01-01 08:00:00-06:00,1,8,5,0.04289330184481318,0.16410456,5261.576353,72.0
2022-01-01 15:00:00+00:00,0.32198,2022-01-01 09:00:00-06:00,1,9,5,0.24652536019615764,0.16410492,5442.830743,75.0
2022-01-01 16:00:00+00:00,0.353389,2022-01-01 10:00:00-06:00,1,10,5,0.4309170623026946,0.16410528,5781.685772,75.9
2022-01-01 17:00:00+00:00,0.35166,2022-01-01 11:00:00-06:00,1,11,5,0.5659614048749161,0.16410564,6113.814796,77.0
2022-01-01 18:00:00+00:00,0.428539,2022-01-01 12:00:00-06:00,1,12,5,0.6404954223804,0.164106,6409.932491,79.0
2022-01-01 19:00:00+00:00,0.439719,2022-01-01 13:00:00-06:00,1,13,5,0.6489855590509461,0.16410636,6555.495416,79.0
2022-01-01 20:00:00+00:00,0.482423,2022-01-01 14:00:00-06:00,1,14,5,0.5908148637199011,0.16410672,6565.633943,80.1
2022-01-01 21:00:00+00:00,0.494525,2022-01-01 15:00:00-06:00,1,15,5,0.4702611353241239,0.16410708,6606.719175,82.0
2022-01-01 22:00:00+00:00,0.480406,2022-01-01 16:00:00-06:00,1,16,5,0.2968539817385749,0.16410744,6647.990904,82.0
2022-01-01 23:00:00+00:00,0.519364,2022-01-01 17:00:00-06:00,1,17,5,0.09119100106622369,0.1641078,6679.033364,80.1
2022-01-02 00:00:00+00:00,0.511295,2022-01-01 18:00:00-06:00,1,18,5,0.0,0.16410816,6773.060203,75.9
2022-01-02 01:00:00+00:00,0.499481,2022-01-01 19:00:00-06:00,1,19,5,0.0,0.16410852,6936.442047,73.9
